case_id,category,input_len,input_hash_prefix
A-001,A,40,7b5e3b1b
A-002,A,49,745e6960
A-003,A,48,443459b3
A-004,A,37,4d3bd286
A-005,A,37,cc1fd63a
A-006,A,40,4aa6a9de
A-007,A,48,b3388c18
A-008,A,48,d0b3fbc3
A-009,A,40,6ce7b57b
A-010,A,50,afd822b3
A-011,A,41,79120471
A-012,A,38,030a2ce1
A-013,A,36,aba56671
A-014,A,50,c40f95e9
A-015,A,38,a00c51a9
A-016,A,36,bd4f7bca
A-017,A,50,afbda44b
A-018,A,38,8b6b8f2b
A-019,A,49,9965d008
A-020,A,49,6f1521ea
B-001,B,41,9272f32f
B-002,B,45,e2df8ae9
B-003,B,41,f940439e
B-004,B,37,33c960cd
B-005,B,45,3ea9140d
B-006,B,37,ba4d78e6
B-007,B,41,9df5d22c
B-008,B,45,63ba187b
B-009,B,39,2bfeecd7
B-010,B,42,3cc6a6e6
B-011,B,43,efec62df
B-012,B,38,5e5db854
B-013,B,38,d4f741ea
B-014,B,38,f8f9d8ac
B-015,B,46,05abcf38
B-016,B,40,e3807fc4
B-017,B,38,80afd27e
B-018,B,43,005387cb
B-019,B,40,78bdc0de
B-020,B,38,f39911db
B-021,B,38,fdcc2c55
B-022,B,46,5220e2b4
B-023,B,46,e85204f2
B-024,B,38,ad866300
B-025,B,46,765516b6
C-001,C,45,7553550f
C-002,C,45,863843f1
C-003,C,39,b8112929
C-004,C,39,b38fd57a
C-005,C,44,c6e11334
C-006,C,44,74ebd11d
C-007,C,43,c44c3a65
C-008,C,43,eb65f1b0
C-009,C,34,1d2839c4
C-010,C,35,8984d419
C-011,C,40,c6fefda0
C-012,C,35,b4e122a4
C-013,C,46,7e104d14
C-014,C,46,8c1d6419
C-015,C,44,b604e794
C-016,C,35,9e2e7be1
C-017,C,35,dd2da6cc
C-018,C,35,835c163b
C-019,C,40,79f05bbb
C-020,C,44,d62c7b2e
D-001,D,34,e4a09f57
D-002,D,38,1b8a5326
D-003,D,38,3b553877
D-004,D,34,89d75e81
D-005,D,38,2023e594
D-006,D,40,18a1c39c
D-007,D,37,34a09e0a
D-008,D,38,b8370345
D-009,D,40,5a0be160
D-010,D,38,a36a4516
D-011,D,39,caa88ec4
D-012,D,41,9caf7f54
D-013,D,39,cf9251d7
D-014,D,41,2970c29b
D-015,D,41,1b9fb4f3
E-001,E,37,d909095c
E-002,E,37,7ca37644
E-003,E,37,9d14adda
E-004,E,39,b2bc7be0
E-005,E,39,a244f4e9
E-006,E,39,cfbe37e7
E-007,E,37,89ace0a3
E-008,E,38,4e1ed315
E-009,E,38,d51a0288
E-010,E,39,e351cc97
F-001,F,41,1eb60f2b
F-002,F,39,4433c623
F-003,F,41,36e3aa1b
F-004,F,39,3e60b375
F-005,F,36,430f0877
F-006,F,33,f8ea06c5
F-007,F,39,278ef682
F-008,F,41,f6982a7f
F-009,F,39,2a783639
F-010,F,40,bf8485eb
